MatchId,Patch,QueueType,RankFk,GameDuration
KR_8031336954,16.1.737.4870,CLASSIC,0,1695
KR_8031019094,16.1.737.4870,ARAM,0,1001
KR_7232006318,14.16.609.8277,CLASSIC,0,2171
KR_8008275962,15.24.734.7485,SWIFTPLAY,0,870
EUW1_7607293235,15.22.724.5161,CLASSIC,5,1720
KR_8030892844,16.1.737.4870,CLASSIC,4,1613
KR_8002088746,15.24.734.7485,CLASSIC,4,1807
NA1_5408128677,15.22.724.5161,CHERRY,0,1507
EUW1_7603964699,15.22.724.5161,CLASSIC,5,1939
KR_7503073428,15.2.652.1536,ARAM,0,1539
EUW1_7568797190,15.20.719.545,CLASSIC,4,1675
KR_8011469950,15.24.734.7485,ARAM,4,1378
EUW1_7608722010,15.22.724.5161,CHERRY,0,1599
KR_8011519660,15.24.734.7485,CLASSIC,0,915
NA1_5437350774,15.24.732.64,CLASSIC,7,2181
NA1_5428652021,15.24.730.7955,SWIFTPLAY,4,1374
NA1_5439554907,15.24.733.5841,CLASSIC,8,1187
NA1_5416774516,15.23.726.9074,CLASSIC,8,1403
EUW1_7612171310,15.23.726.9074,CLASSIC,6,1287
KR_8003523668,15.24.734.7485,URF,0,1475
EUW1_7572419077,15.20.719.545,ARAM,3,1126
KR_8030986128,16.1.737.4870,CLASSIC,0,2049
NA1_5454325531,15.24.734.7485,CHERRY,0,1518
EUW1_7590590003,15.21.721.8442,CLASSIC,4,1699
EUW1_7571419607,15.20.719.545,CLASSIC,8,1399
KR_8026076851,16.1.737.4870,ARAM,0,1009
EUW1_7604455196,15.22.724.5161,CHERRY,9,1575
NA1_5455034512,15.24.734.7485,CLASSIC,7,1688
EUW1_7574994568,15.20.719.545,CLASSIC,4,2168
NA1_5430081034,15.24.731.5210,CLASSIC,7,1803
KR_8034481855,16.1.737.4870,ARAM,0,1221
EUW1_7602599918,15.22.724.5161,CLASSIC,4,1180
KR_8011803987,15.24.734.7485,ARAM,0,825
KR_8029191963,16.1.737.4870,SWIFTPLAY,0,853
NA1_5451344034,15.24.734.7485,CLASSIC,7,1376
KR_8027992574,16.1.737.4870,CLASSIC,0,1890
KR_8035711857,16.1.737.4870,ARAM,0,1691
EUW1_7603716089,15.22.724.5161,CHERRY,4,1393
EUW1_7584007420,15.21.721.8442,CHERRY,5,1494
NA1_5422573664,15.23.728.3286,CHERRY,3,1363
KR_8037323895,16.1.737.4870,ARAM,0,1065
KR_8029255003,16.1.737.4870,CLASSIC,0,1988
EUW1_7590068684,15.21.721.8442,CLASSIC,6,1202
KR_7819663736,15.18.710.2811,CLASSIC,0,1196
KR_8007404403,15.24.734.7485,ARAM,0,1198
KR_8010763891,15.24.734.7485,ARAM,0,1059
EUW1_7576303994,15.20.719.545,CHERRY,3,1547
NA1_5440040295,15.24.733.5841,CLASSIC,4,1811
KR_8009897473,15.24.734.7485,CLASSIC,0,992
EUW1_7570625912,15.20.719.545,CHERRY,0,1560
KR_8012884034,15.24.734.7485,ARAM,0,1212
NA1_5426578960,15.23.728.3286,CLASSIC,6,1373
KR_8016255076,16.1.734.5787,ARAM,0,737
NA1_5438527081,15.24.732.64,CLASSIC,4,2023
EUW1_7566395831,15.20.717.2831,ARAM,8,534
NA1_5428300260,15.24.730.7955,CLASSIC,3,1355
EUW1_7608136013,15.22.724.5161,CLASSIC,5,1407
NA1_5419094756,15.23.728.3286,CLASSIC,7,1502
EUW1_7610412558,15.23.726.9074,CLASSIC,4,1683
NA1_5437358583,15.24.732.64,CLASSIC,4,2519
NA1_5430669877,15.24.731.5210,CLASSIC,8,1505
NA1_5439992102,15.24.733.5841,CLASSIC,5,2009
KR_7956049974,15.24.731.5210,CLASSIC,0,1740
EUW1_7562959960,15.20.717.2831,CLASSIC,8,960
NA1_5430568599,15.24.731.5210,CLASSIC,8,1658
KR_7988862837,15.24.734.7485,ARAM,0,573
KR_7936406704,15.23.728.3286,URF,0,1080
KR_8025920079,16.1.737.4870,CLASSIC,0,1644
EUW1_7600960723,15.22.724.5161,CLASSIC,8,2060
KR_8006130031,15.24.734.7485,CLASSIC,0,1409
KR_8012404479,15.24.734.7485,CLASSIC,4,2376
KR_8006272199,15.24.734.7485,CLASSIC,5,1728
EUW1_7607641417,15.22.724.5161,CLASSIC,3,1744
KR_8033495583,16.1.737.4870,ARAM,0,836
EUW1_7564468810,15.20.717.2831,CLASSIC,4,1826
KR_7803298641,15.18.710.2811,ARAM,0,984
NA1_5435274878,15.24.732.64,CLASSIC,7,3233
NA1_5423158925,15.23.728.3286,CLASSIC,7,1606
KR_8035820491,16.1.737.4870,CLASSIC,7,2389
EUW1_7565868146,15.20.717.2831,CLASSIC,8,1574
KR_8027566889,16.1.737.4870,CLASSIC,4,1865
NA1_5426226440,15.23.728.3286,CLASSIC,7,2184
KR_7997420273,15.24.734.7485,CLASSIC,0,1592
KR_7987974381,15.24.734.7485,CLASSIC,3,1754
EUW1_7603143791,15.22.724.5161,CLASSIC,8,1718
EUW1_7604483884,15.22.724.5161,CLASSIC,8,1587
KR_8011850810,15.24.734.7485,SWIFTPLAY,0,989
EUW1_7566887728,15.20.717.2831,CLASSIC,8,1881
EUW1_7605525571,15.22.724.5161,CLASSIC,5,1566
KR_8010912703,15.24.734.7485,ARAM,0,1183
KR_8010314726,15.24.734.7485,URF,0,1034
EUW1_7611874786,15.23.726.9074,CLASSIC,5,2038
NA1_5422432658,15.23.728.3286,CHERRY,0,1425
KR_8029254423,16.1.737.4870,ARAM,3,1019
EUW1_7559839055,15.19.715.1836,CLASSIC,5,2120
EUW1_7613667022,15.23.728.3286,ARAM,6,879
NA1_5423425416,15.23.728.3286,CHERRY,5,1618
EUW1_7567214197,15.20.717.2831,CHERRY,6,1638
EUW1_7560036648,15.19.715.1836,CLASSIC,5,1685
EUW1_7606312962,15.22.724.5161,CLASSIC,5,1690
NA1_5452458790,15.24.734.7485,CLASSIC,7,1437
KR_8034114724,16.1.737.4870,ARAM,0,1367
NA1_5447283155,15.24.734.7485,CLASSIC,5,1474
NA1_5420992394,15.23.728.3286,CLASSIC,8,1777
NA1_5421474352,15.23.728.3286,CLASSIC,7,1555
EUW1_7569326006,15.20.719.545,CLASSIC,5,1677
KR_8013751200,15.24.734.7485,CLASSIC,2,1514
NA1_5426458320,15.23.728.3286,ARAM,0,1331
EUW1_7600593424,15.22.724.5161,CLASSIC,5,1409
NA1_5432081283,15.24.731.5210,CLASSIC,8,1111
EUW1_7606736833,15.22.724.5161,CHERRY,5,1298
KR_8028213357,16.1.737.4870,CLASSIC,0,1690
NA1_5432491867,15.24.731.5210,CLASSIC,7,1780
KR_8028759238,16.1.737.4870,CLASSIC,4,1530
EUW1_7573057079,15.20.719.545,CLASSIC,1,1702
NA1_5445665591,15.24.734.7485,CLASSIC,2,1695
NA1_5439412924,15.24.733.5841,CLASSIC,6,1395
KR_7976539637,15.24.734.7485,CLASSIC,0,1227
KR_7880772620,15.21.720.925,ARAM,0,1485
EUW1_7573490261,15.20.719.545,CLASSIC,8,1463
KR_7991382104,15.24.734.7485,ARAM,0,1092
KR_8018794835,16.1.737.1049,CLASSIC,0,1538
KR_8039095137,16.1.737.4870,CLASSIC,0,1868
KR_8023361305,16.1.737.4870,SWIFTPLAY,0,990
EUW1_7582333567,15.21.721.8442,CLASSIC,4,1674
NA1_5425910410,15.23.728.3286,CLASSIC,5,1586
NA1_5435900086,15.24.732.64,CLASSIC,4,1702
