SummonerMatchId,SummonerFk,MatchFk,ChampionFk
127776,4484,EUW1_7602433039,112
127777,4484,EUW1_7602376503,112
127779,4484,EUW1_7602281628,112
127781,4484,EUW1_7602198134,112
127782,4484,EUW1_7602156044,112
127784,4484,EUW1_7602069844,53
127809,4485,EUW1_7605617745,145
127810,4485,EUW1_7603118212,67
127811,4485,EUW1_7602131971,131
127813,4485,EUW1_7597387857,145
127817,4485,EUW1_7593746769,9
127819,4485,EUW1_7593682564,518
127821,4485,EUW1_7593590173,99
127848,4486,EUW1_7603315697,238
127849,4486,EUW1_7603272020,222
127850,4486,EUW1_7602897508,238
127860,4486,EUW1_7602055419,238
127861,4486,EUW1_7602029384,121
127864,4486,EUW1_7601744233,238
127865,4486,EUW1_7601694590,238
127885,4487,EUW1_7607300544,238
127886,4487,EUW1_7607232663,127
127892,4487,EUW1_7605498161,127
127893,4487,EUW1_7605483420,238
127896,4487,EUW1_7605432091,238
127926,4488,EUW1_7605799890,22
127931,4488,EUW1_7604892740,22
127936,4488,EUW1_7604489860,145
127940,4488,EUW1_7603674852,81
127963,4489,EUW1_7606893764,115
127965,4489,EUW1_7606861618,164
127968,4489,EUW1_7606840222,54
127969,4489,EUW1_7606835967,81
127975,4489,EUW1_7605854066,202
127977,4489,EUW1_7605734100,164
128003,4490,EUW1_7573059035,16
128011,4490,EUW1_7564723588,54
128041,4491,EUW1_7607226986,518
128043,4491,EUW1_7605827272,143
128048,4491,EUW1_7605608347,518
128056,4491,EUW1_7598626448,518
128057,4491,EUW1_7594629527,518
128083,4492,EUW1_7605691086,19
128084,4492,EUW1_7605651082,28
128085,4492,EUW1_7605637486,234
128093,4492,EUW1_7605099604,897
128132,4493,EUW1_7604011010,14
128134,4493,EUW1_7603082661,117
128137,4493,EUW1_7602004122,26
128158,4494,EUW1_7605660563,37
128160,4494,EUW1_7605166080,37
128163,4494,EUW1_7604397638,85
128166,4494,EUW1_7602614651,37
128170,4494,EUW1_7601266058,37
128200,4495,EUW1_7605702364,89
128205,4495,EUW1_7603187251,89
128206,4495,EUW1_7603158756,89
128210,4495,EUW1_7602475757,89
128237,4496,EUW1_7605806945,86
128239,4496,EUW1_7605691319,157
128243,4496,EUW1_7605548844,157
128246,4496,EUW1_7605525571,157
128254,4496,EUW1_7604414997,157
128276,4497,EUW1_7602100574,421
128278,4497,EUW1_7602048089,777
128280,4497,EUW1_7601943673,799
128288,4497,EUW1_7600854365,804
128291,4497,EUW1_7596040595,39
128318,4498,EUW1_7607227263,412
128323,4498,EUW1_7603653641,115
128326,4498,EUW1_7603512996,115
128329,4498,EUW1_7602871070,115
128356,4499,EUW1_7602982287,222
128370,4499,EUW1_7588283699,222
128373,4499,EUW1_7587477667,498
128376,4500,EUW1_7606889260,96
128381,4500,EUW1_7603146522,54
128385,4500,EUW1_7601993287,54
128388,4500,EUW1_7600985935,35
128391,4500,EUW1_7599725847,30
128416,4501,EUW1_7607323325,51
128422,4501,EUW1_7604296382,17
128427,4501,EUW1_7602082086,90
128428,4501,EUW1_7602064934,79
128432,4501,EUW1_7601977250,4
128433,4501,EUW1_7601961023,4
128463,4502,EUW1_7603629512,122
128468,4502,EUW1_7601599584,799
128500,4503,EUW1_7598496966,777
128502,4503,EUW1_7594550388,62
128507,4503,EUW1_7593353477,82
128512,4503,EUW1_7591833637,432
128538,4504,EUW1_7603087763,202
128546,4504,EUW1_7597533957,202
128550,4504,EUW1_7596221139,134
128565,4505,EUW1_7607329993,39
128566,4505,EUW1_7607138868,902
128569,4505,EUW1_7605753605,41
128581,4505,EUW1_7603947953,777
128582,4505,EUW1_7603894113,200
128583,4505,EUW1_7603830508,141
128584,4505,EUW1_7603511806,64
128594,4506,EUW1_7604431768,38
128598,4506,EUW1_7603156794,163
128604,4506,EUW1_7601985498,38
128628,4507,EUW1_7603669991,58
